1190,508
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1106,384
1096,368
1097,371
1098,371
1098,371
1087,353
1106,379
1085,348
1104,381
1093,364
1094,364
1105,380
1105,380
1105,380
1105,380
1105,380
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1094,364
1105,380
1105,380
1105,380
1105,380
1105,380
1105,380
1105,381
1105,381
1105,381
1105,381
1105,381
1105,381
1105,380
1105,380
1105,380
1105,380
1105,380
1102,381
1093,391
1063,367
1072,382
1071,385
1070,386
1069,388
1068,389
1068,390
1067,390
1065,391
1065,392
1064,392
1051,380
1050,380
1050,381
1063,395
1050,382
1049,382
1049,383
1062,395
1048,383
1061,396
1048,384
1048,384
1048,384
1060,396
1060,397
1047,385
1060,397
1047,385
1060,397
1047,386
1060,398
1059,398
1046,386
1060,398
1047,387
1046,387
1046,386
1046,386
1046,387
1060,400
1046,387
1046,387
1046,387
1045,387
1046,387
1046,387
1046,387
1046,388
1046,388
1045,388
1045,388
1059,399
1061,396
1079,407
1055,376
1056,374
1070,387
1070,386
1071,385
1059,370
1073,383
1061,368
1061,367
1075,381
1076,381
1076,380
1077,379
1077,379
1078,379
1078,378
1078,377
1079,376
1067,362
1067,361
1068,361
1068,361
1068,360
1069,360
1069,359
1069,359
1070,359
1070,359
1070,358
1071,359
1071,358
1071,358
1071,358
1095,388
1072,358
1072,358
1072,357
1072,357
1072,357
1096,388
1072,356
1096,387
1073,356
1073,356
1073,356
1096,387
1097,387
1097,387
1073,355
1074,356
1097,386
1074,355
1097,386
1074,355
1074,355
1098,387
