,1,50,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
1,,,,-6.37E+01,-27.631,-28.413,-25.788,-3.19E+01,-16.945,26.814,37.406,,30.578,26.26,24.543,25.105,23.506,24.082,26.165,24.091,22.502,23.371,26.089,,19.728,,-3.4097
2,4.472,,1.9852,-4.8398,-8.8147,-6.3254,-8.1663,-9.52E+00,-16.079,-50.699,23.04,26.846,-18.941,32.035,-25.534,38.832,41.585,44.442,50.045,34.864,26.587,24.42,6.5973,,5.623,,-5.0296
3,,-12.832,-9.8122,-7.2311,-10.91,-12.192,-8.0242,-17.987,-27.606,13.408,,47.248,,37.394,,-22.187,,-12.648,,-7.1208,,-1.4063,,-8.811,,,
4,,,,,,,-6.37E+01,,87.102,,78.042,,75.886,,,64.876,,,,,,,,,,,
5,,,,,,,-17.811,,26.712,,19.663,,19.712,,,9.578,,,,,,,,,,,
