leg,freq,amp,ext,extrel,cont,contrel
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
2,700,1,0.28597,0.24216,0.0040985,0.28079
