,1,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100
4,,,,,,-2.6993,,-49.797,,-54.844,,-38.966,,,57.745,,,,,,,
5,,,,,,-15.548,,-22.599,,22.329,,23.798,,,74.155,,,,,,,
6,-0.40922,-11.462,6.5712,-44.304,-74.241,0.34067,-20.092,-7.1179,-5.2367,43.247,63.435,17.471,7.6348,44.663,-1.8507,11.69,0.73198,-3.2894,-2.7643,-2.7095,-1.16,-1.2153
7,,-8.5794,-69.664,-39.694,-0.82272,,,,,-0.7728,,,,,,0.44676,-1.8517,2.504,19.73,,,
